Date,Temperature,temperature_rolling_mean
1981-01-01,38.1,
1981-01-02,32.4,
1981-01-03,34.5,
1981-01-04,20.7,
1981-01-05,21.5,
1981-01-06,23.1,
1981-01-07,29.7,
1981-01-08,36.6,
1981-01-09,36.1,30.299999999999997
1981-01-10,20.6,28.355555555555558
1981-01-11,20.4,27.022222222222222
1981-01-12,30.1,26.533333333333335
1981-01-13,38.7,28.533333333333335
1981-01-14,41.4,30.74444444444445
1981-01-15,37.0,32.28888888888889
1981-01-16,36.0,32.98888888888889
1981-01-17,37.0,33.03333333333333
1981-01-18,38.0,33.24444444444445
1981-01-19,23.0,33.51111111111111
1981-01-20,26.7,34.211111111111116
1981-01-21,27.5,33.922222222222224
1981-01-22,21.7,32.03333333333333
1981-01-23,22.9,29.977777777777778
1981-01-24,26.2,28.77777777777778
1981-01-25,36.5,28.833333333333332
1981-01-26,41.8,29.366666666666667
1981-01-27,21.5,27.533333333333335
1981-01-28,19.2,27.11111111111111
1981-01-29,25.0,26.922222222222224
1981-01-30,28.9,27.07777777777778
1981-01-31,23.2,27.244444444444444
1981-02-01,31.5,28.200000000000003
1981-02-02,36.2,29.311111111111114
1981-02-03,38.2,29.5
1981-02-04,26.4,27.788888888888888
1981-02-05,20.9,27.72222222222222
1981-02-06,21.5,27.977777777777778
1981-02-07,30.2,28.555555555555557
1981-02-08,33.4,29.055555555555557
1981-02-09,32.6,30.099999999999998
1981-02-10,22.2,29.06666666666667
1981-02-11,21.7,27.45555555555556
1981-02-12,30.0,26.54444444444444
1981-02-13,35.7,27.577777777777776
1981-02-14,32.8,28.900000000000002
1981-02-15,39.3,30.877777777777776
1981-02-16,25.5,30.355555555555554
1981-02-17,23.0,29.200000000000003
1981-02-18,19.9,27.788888888888888
1981-02-19,21.3,27.688888888888886
1981-02-20,20.8,27.58888888888889
1981-02-21,21.7,26.666666666666668
1981-02-22,23.8,25.344444444444445
1981-02-23,29.0,24.922222222222224
1981-02-24,23.7,23.188888888888886
1981-02-25,21.3,22.72222222222222
1981-02-26,28.5,23.333333333333332
1981-02-27,33.6,24.855555555555554
1981-02-28,34.6,26.333333333333332
1981-03-01,34.2,27.822222222222223
1981-03-02,27.0,28.41111111111111
1981-03-03,24.2,28.45555555555556
1981-03-04,19.9,27.444444444444443
1981-03-05,19.7,27.0
1981-03-06,21.5,27.022222222222222
1981-03-07,30.6,27.255555555555556
1981-03-08,30.0,26.855555555555558
1981-03-09,19.0,25.122222222222224
1981-03-10,19.6,23.5
1981-03-11,20.6,22.788888888888888
1981-03-12,23.6,22.72222222222222
1981-03-13,17.9,22.5
1981-03-14,17.3,22.233333333333334
1981-03-15,21.4,22.222222222222225
1981-03-16,24.1,21.5
1981-03-17,20.9,20.48888888888889
1981-03-18,30.1,21.72222222222222
1981-03-19,32.6,23.166666666666668
1981-03-20,21.3,23.244444444444447
1981-03-21,19.5,22.78888888888889
1981-03-22,19.9,23.01111111111111
1981-03-23,21.0,23.42222222222222
1981-03-24,25.4,23.866666666666664
1981-03-25,17.5,23.133333333333333
1981-03-26,20.4,23.077777777777776
1981-03-27,26.8,22.71111111111111
1981-03-28,25.8,21.955555555555556
1981-03-29,20.9,21.91111111111111
1981-03-30,19.4,21.9
1981-03-31,25.8,22.555555555555557
1981-04-01,26.3,23.144444444444446
1981-04-02,29.6,23.61111111111111
1981-04-03,30.3,25.033333333333335
1981-04-04,23.6,25.38888888888889
1981-04-05,28.4,25.566666666666666
1981-04-06,20.7,25.0
1981-04-07,24.1,25.355555555555554
1981-04-08,27.3,26.233333333333334
1981-04-09,23.2,25.944444444444443
1981-04-10,18.3,25.055555555555557
1981-04-11,24.6,24.5
1981-04-12,27.4,24.177777777777777
1981-04-13,20.4,23.822222222222223
1981-04-14,18.1,22.677777777777777
1981-04-15,25.2,23.177777777777777
1981-04-16,19.8,22.700000000000003
1981-04-17,21.0,22.0
1981-04-18,23.7,22.055555555555557
1981-04-19,19.6,22.200000000000003
1981-04-20,18.1,21.477777777777778
1981-04-21,20.8,20.744444444444444
1981-04-22,26.0,21.366666666666667
1981-04-23,18.4,21.4
1981-04-24,22.0,21.044444444444444
1981-04-25,14.4,20.444444444444443
1981-04-26,19.9,20.322222222222223
1981-04-27,22.6,20.200000000000003
1981-04-28,13.7,19.54444444444444
1981-04-29,15.9,19.299999999999997
1981-04-30,21.2,19.34444444444444
1981-05-01,23.7,19.08888888888889
1981-05-02,24.0,19.711111111111112
1981-05-03,17.2,19.177777777777777
1981-05-04,23.2,20.155555555555555
1981-05-05,25.2,20.744444444444444
1981-05-06,17.2,20.144444444444442
1981-05-07,16.0,20.4
1981-05-08,15.6,20.366666666666667
1981-05-09,13.4,19.5
1981-05-10,16.0,18.644444444444442
